time_logged,left_EAR,right_EAR,total_EAR,average_EAR,derivation,is_blink
1715059161.678058,0.2209217125033265,0.23706190564373267,0.2289918090735296,0.23797711548925435,0.008985306415724759,False
1715059161.678058,0.21754296058265626,0.23056286351573343,0.22405291204919486,0.2379493226680167,0.013896410618821825,False
1715059161.744562,0.21702406171447972,0.22751709739625028,0.222270579555365,0.2379180901120154,0.015647510556650396,False
1715059161.744562,0.2338977256560452,0.22492083398081267,0.22940927981842893,0.2379011739881713,0.008491894169742359,False
1715059161.81107,0.2468245204577159,0.2412865062165553,0.2440555133371356,0.23791338497894304,0.006142128358192556,False
1715059161.81107,0.2278486647646973,0.2486166805189152,0.23823267264180625,0.23791401723174077,0.0003186554100654826,False
1715059161.876719,0.24236182664422762,0.2412865062165553,0.24182416643039145,0.23792174479932704,0.003902421631064412,False
1715059161.876719,0.20792522597798613,0.20366001053130856,0.20579261825464734,0.2378583737410535,0.03206575548640617,False
1715059161.94317,0.24682230074011724,0.25489458918550273,0.25085844496280996,0.23788396443243492,0.012974480530375032,False
1715059161.94317,0.17939136654921406,0.19098758080572514,0.1851894736774696,0.23778043891032302,0.05259096523285342,False
1715059162.00896,0.25551247367559504,0.2651174573363854,0.2603149655059902,0.237824624256589,0.02249034124940119,False
1715059162.00896,0.17016088327747617,0.15859963994896728,0.16438026161322172,0.23768089751951785,0.07330063590629612,False
1715059162.074569,0.2209217125033265,0.248692962488015,0.23480733749567076,0.23767528509759625,0.0028679476019254913,False
1715059162.074569,0.16994371546483494,0.1598514503776719,0.16489758292125342,0.23753341823175544,0.07263583531050202,False
1715059162.1424372,0.24236182664422762,0.2613914448337905,0.2518766357390091,0.237561323324182,0.014315312414827086,False
1715059162.1424372,0.14134897976593924,0.14533282995919247,0.14334090486256584,0.2373783710553245,0.09403746619275866,False
1715059162.209347,0.2468281005108685,0.23992997280486933,0.24337903665786892,0.23739000025222864,0.0059890364056402745,False
1715059162.209347,0.16299725345332852,0.15859963994896728,0.1607984467011479,0.23724185411383197,0.07644340741268407,False
1715059162.2824981,0.26613253164532497,0.25489458918550273,0.26051356041541385,0.23728678018777327,0.023226780227640575,False
1715059162.2824981,0.16299725345332852,0.169582034478673,0.16628964396600077,0.23714998416422456,0.07086034019822379,False
1715059162.35521,0.2209217125033265,0.23706190564373267,0.2289918090735296,0.23713429536597325,0.008142486292443657,False
1715059162.35521,0.17475194863014434,0.17628159855416822,0.17551677359215628,0.23701602756986226,0.061499253977705975,False
1715059162.4264379,0.255912453544358,0.2674736068580595,0.2616930302012087,0.23706330152126331,0.024629728679945395,False
1715059162.4264379,0.14583111356345055,0.171094049154421,0.15846258135893576,0.23691301333739653,0.07845043197846077,False
1715059162.497356,0.24939333845032127,0.24998444217284904,0.24968889031158514,0.23693739478200376,0.01275149552958138,False
1715059162.497356,0.16132180102922528,0.18374800162172836,0.17253490132547683,0.2368147233658961,0.06427982204041927,False
1715059162.567552,0.22723837615371512,0.277587453824102,0.25241291498890855,0.23684437772259384,0.015568537266314714,False
1715059162.567552,0.1622716978139181,0.1767766952966369,0.1695241965552775,0.23671663544333896,0.06719243888806145,False
1715059162.63395,0.2304534840052444,0.248692962488015,0.23957322324662972,0.23672204564751184,0.0028511775991178767,False
1715059162.63395,0.14084770977077524,0.11592004310956215,0.1283838764401687,0.2365172475960802,0.10813337115591151,False
1715059162.701005,0.23459232094631713,0.23180146318886635,0.23319689206759175,0.23651098277432833,0.0033140907067365777,False
